Source,Target,Weight
孙悟空,孙悟空,4025
孙悟空,观音,38
孙悟空,猪八戒,375
孙悟空,唐僧,1509
孙悟空,如来,69
孙悟空,魔王,119
孙悟空,妖精,217
孙悟空,龙王,375
孙悟空,菩萨,644
孙悟空,玉帝,207
孙悟空,大仙,95
孙悟空,太宗,30
孙悟空,长老,54
孙悟空,沙僧,126
观音,观音,40
观音,孙悟空,38
观音,唐僧,44
观音,玉帝,17
观音,菩萨,65
龙王,龙王,454
龙王,孙悟空,375
龙王,菩萨,43
龙王,玉帝,20
龙王,唐僧,93
龙王,太宗,30
龙王,妖精,19
龙王,猪八戒,14
太宗,太宗,702
太宗,孙悟空,30
太宗,唐僧,252
太宗,长老,17
太宗,菩萨,86
太宗,龙王,30
太宗,猪八戒,29
太宗,魔王,13
唐僧,唐僧,6822
唐僧,观音,44
唐僧,孙悟空,1509
唐僧,猪八戒,1179
唐僧,菩萨,731
唐僧,玉帝,34
唐僧,如来,42
唐僧,长老,412
唐僧,太宗,252
唐僧,龙王,93
唐僧,魔王,74
唐僧,妖精,329
唐僧,沙僧,333
唐僧,大仙,155
猪八戒,孙悟空,375
猪八戒,猪八戒,1389
猪八戒,唐僧,1179
猪八戒,魔王,24
猪八戒,菩萨,188
猪八戒,长老,68
猪八戒,妖精,169
猪八戒,沙僧,285
猪八戒,太宗,29
猪八戒,大仙,71
猪八戒,龙王,14
大仙,大仙,333
大仙,孙悟空,95
大仙,菩萨,51
大仙,唐僧,155
大仙,长老,14
大仙,猪八戒,71
大仙,沙僧,30
如来,孙悟空,69
如来,如来,135
如来,菩萨,78
如来,玉帝,28
如来,唐僧,42
魔王,猪八戒,24
魔王,魔王,115
魔王,孙悟空,119
魔王,妖精,19
魔王,唐僧,74
魔王,太宗,13
魔王,菩萨,19
玉帝,玉帝,149
玉帝,孙悟空,207
玉帝,菩萨,104
玉帝,观音,17
玉帝,唐僧,34
玉帝,龙王,20
玉帝,如来,28
菩萨,菩萨,2553
菩萨,孙悟空,644
菩萨,龙王,43
菩萨,玉帝,104
菩萨,观音,65
菩萨,大仙,51
菩萨,唐僧,731
菩萨,如来,78
菩萨,长老,47
菩萨,太宗,86
菩萨,妖精,224
菩萨,猪八戒,188
菩萨,沙僧,59
菩萨,魔王,19
妖精,孙悟空,217
妖精,魔王,19
妖精,妖精,401
妖精,唐僧,329
妖精,菩萨,224
妖精,长老,27
妖精,猪八戒,169
妖精,沙僧,55
妖精,龙王,19
长老,长老,207
长老,唐僧,412
长老,菩萨,47
长老,太宗,17
长老,孙悟空,54
长老,妖精,27
长老,猪八戒,68
长老,沙僧,26
长老,大仙,14
沙僧,唐僧,333
沙僧,猪八戒,285
沙僧,沙僧,272
沙僧,孙悟空,126
沙僧,长老,26
沙僧,菩萨,59
沙僧,大仙,30
沙僧,妖精,55
