ranking,title,name,score,score_diff
1,GM,Night-King96,3259,20
2,GM,Arka50,3252,6
3,GM,RebeccaHarris,3236,25
4,GM,muisback,3210,16
5,GM,msb2,3203,27
6,GM,Zhigalko_Sergei,3202,-44
7,IM,Ediz_Gurel,3166,-15
8,,anhghOst24,3157,-79
9,FM,Mirakel05,3149,-10
10,CM,afanoffun,3135,6
11,FM,Heisenberg01,3134,
12,GM,Arseniii_Nesterov,3129,19
13,,Aeroplanino7,3122,37
14,IM,Wafwhij02,3122,13
15,GM,Lintchevski_Daniil,3120,20
16,GM,Shant7777777,3120,18
17,IM,MatthewG-p4p,3115,-16
18,GM,SindarovGM,3104,2
19,,Chess_Is_Life23,3101,18
20,IM,Niksss2023,3100,20
21,,HowardXue,3089,-8
22,IM,Aronyak1,3085,-15
23,,IbreakeYou,3084,-32
24,,expertise64,3084,-9
25,FM,Mishka_The_Great,3081,-4
26,IM,klari64,3080,39
27,GM,OhanyanEminChess,3079,-8
28,,JoshuaKimmich22,3076,-21
29,,ricky8632200,3074,2
30,,Dynamirock,3073,-20
31,GM,NeverEnough,3070,11
32,IM,Kacparov,3070,3
33,,Dotorkal,3069,-2
34,GM,defenceboy1,3069,-25
35,IM,AngelitoRT,3067,-2
36,GM,retired93,3065,-1
37,,NowIAmSerious,3060,9
38,,anauraConaibaF,3060,-20
39,GM,SVODMEVKO,3055,-16
40,IM,SavvaVetokhin2009,3053,3
41,,Emmanuel1233,3053,50
42,IM,DrMelekess,3050,18
43,,pabloc868,3049,47
44,GM,Rakhmanov_Aleksandr,3048,-43
45,,NWTL,3045,10
46,,Cat_in_hat,3043,6
47,GM,drop_stone,3043,-34
48,NM,Andrey11976,3042,28
49,,ilqar_7474,3042,3
50,,RoDoSfAtiHi,3035,29
51,NM,Jasugi99,3034,-3
52,GM,ABachmann,3027,-42
53,,dawnqueen,3026,-72
54,GM,gmadham,3025,3
55,GM,Zaven_ChessMood,3024,7
56,,schoberstein,3024,-15
57,,Longoost,3024,66
58,,LegacyOfBob,3022,-9
59,,Abgdezeyyyy,3021,3
60,CM,monoboy2016,3020,27
61,,Chesswarrior31,3020,-25
62,,Guary1,3019,-19
63,FM,tamojerry,3019,-35
64,IM,Papus1234,3017,12
65,IM,littleplotkin,3017,-10
66,GM,XuYL_1a,3016,16
67,IM,Zhalmakhanov_R,3016,-20
68,GM,dhoine98,3015,11
69,,jumpingknight20,3014,4
70,,CGK_ARCA,3014,-37
71,GM,Esssquire,3013,-4
72,FM,dmitrijiiiGM,3012,17
73,,Shannow,3011,3
74,FM,rob188,3011,-9
75,GM,temp006,3009,29
76,,Dr_mARtIk,3009,17
77,,Bigellow,3009,-13
78,FM,Ali_rastbod,3008,31
79,,Klaus_Mikaelson_001,3008,-6
80,,DrNyktersteinizchata,3004,26
81,GM,promove2500,3004,-2
82,FM,Vishyking64,3002,22
83,,Yancals,3002,15
84,,FreshRetired,3002,50
85,GM,Chesssplayer21,3002,-27
86,,Polyclinical,3001,-11
87,,Arkadiy200000,3001,28
88,,Dariniofficial,3001,25
89,GM,Bestinblitz,3001,46
90,GM,TonyGazzo,3001,21
91,IM,idelaria,3000,24
92,,T11228,3000,-16
93,,JoseMourinho,3000,35
94,FM,Bubeliang,3000,15
95,IM,Artur0208,3000,-1
96,,shootingstar10,2999,25
97,GM,Grandelicious,2999,19
98,,Kurald_Galain,2996,36
99,FM,Blackmin96,2995,-18
100,,ReluctantCannibal,2994,14
101,GM,Drthebigboss,2994,1
102,CM,daubon,2990,4
103,GM,black_knight22,2988,8
104,FM,Kostik_Mostik,2987,-28
105,,Amateur_IM,2982,-24
106,FM,Ch5ssPlayer,2981,6
107,,dotaislife,2980,8
108,IM,Saparmyrat,2978,1
109,IM,gon_freecs123,2978,-27
110,GM,MasterAssasin123,2977,-36
111,GM,DraganSolak,2975,-14
112,,ChessTutorAI,2974,-18
113,GM,gmbarbosachess,2973,2
114,IM,Ch1llax,2972,15
115,GM,Evgeny_Levin,2972,21
116,IM,kingnb,2971,-1
117,,Secret_Spion,2970,-3
118,FM,legend2014,2969,-4
119,,TheBeekeeper89,2969,-4
120,,chessm3g1c,2968,7
121,,Duhless1981,2968,18
122,,Vin_Disel,2968,-3
123,GM,OCChess,2967,10
124,GM,maciek_92,2967,10
125,IM,NeonAssassin777,2964,-1
126,IM,yoseph2013,2964,-28
127,,DemolitionMachine06,2963,-31
128,GM,wizard98,2961,9
129,,Chibchib12,2961,-11
130,,Dmitriychesser,2960,16
131,,DarkFrontier,2960,-31
132,,AKing2024,2960,22
133,GM,LuckyGraaf,2958,-14
134,GM,venajalainen,2957,-10
135,,ultraking1,2956,-1
136,,aa175,2955,34
137,,CheeryChocolate,2955,-14
138,FM,Rekcul,2954,-5
139,FM,Greenlantern07,2954,-6
140,,Ronen338,2954,53
141,,Heydarova,2953,-13
142,GM,Fighterman91,2951,-8
143,GM,superchess2002,2950,15
144,,IsolatedMushroom,2950,30
145,IM,tacticthunder,2950,-31
146,GM,Gogithewise,2947,-8
147,IM,Kirill_Klyukin,2947,-9
148,,dauANHbac,2945,-14
149,GM,Gevorg_Harutjunyan,2944,2
150,,Medvedpoint,2944,-37
151,IM,greennight,2942,-9
152,,ZigZagBB,2941,-20
153,IM,Vuk00,2941,12
154,GM,BlunderPandaZz,2941,28
155,,uSeRnAmEnOtAvAiL,2940,10
156,FM,Toxic_Trapper,2940,-36
157,FM,Vostanin,2939,39
158,,Rnhs,2937,
159,GM,Rikikits,2937,-8
160,NM,UntilItIsOtherwise,2936,-5
161,CM,Nika_Volkov,2933,6
162,FM,chess-art-us,2933,-22
163,,BEELVA63,2933,-11
164,,anonymousblitz,2933,-37
165,FM,Tuzakli_Egitim,2932,
166,CM,vovaches,2931,-5
167,GM,SGchess01,2931,-40
168,GM,S2Pac,2930,-2
169,,Vaccaria2022,2930,-25
170,FM,suyu28,2929,19
171,FM,Blazinq,2928,19
172,,Tiraturyan_ChessMood,2928,-15
173,GM,rasulovvugar,2928,28
174,FM,AAK203,2928,-30
175,,Depresionante,2928,-17
176,NM,Chess-Network,2926,29
177,,Hausigel,2926,4
178,,LoveFifi,2926,-2
179,,ShcheglovGleb10,2926,-19
180,IM,khubushka2007,2925,17
181,,push-em-baby,2925,10
182,GM,Didici12,2924,-2
183,,Saintkhach-03,2924,14
184,FM,Dmitry_Anikonov,2924,18
185,,Balettan2,2923,7
186,,cocheverde,2923,5
187,FM,Kaldas90,2923,11
188,,trobe35,2922,8
189,,Mandarlad17,2922,26
190,GM,NTDVAN,2922,-8
191,IM,promacherrrr,2922,-2
192,,efourwhitewins,2921,-26
193,GM,Experience_Chess,2921,-6
194,GM,Sergoy45,2921,-7
195,,BetterCollSoul,2921,-2
196,,ChessDarkForce,2920,27
197,,Radanya_Official,2920,23
198,IM,caissaisabelle,2920,7
199,IM,sonnythehedgehog,2920,3
200,GM,Dybamo,2919,14
